Date,Close,High,Low,Open,Volume,pos,neu,neg,compound,Target_Up
2023-02-22,147.0632781982422,148.09037388155102,145.3349810354075,147.0237658241407,51011300,0.375,0.455,0.17,0.4215,1
2023-02-23,147.54721069335938,148.47555569965527,145.4140093743504,148.22865607328114,48394200,0.375,0.455,0.17,0.4215,0
2023-02-24,144.89060974121094,145.3646528906462,143.91288161778817,145.28564318748033,55469600,0.375,0.455,0.17,0.4215,1
2023-02-27,146.08560180664062,147.32010021469048,145.62142919964901,145.87821451304222,44998500,0.375,0.455,0.17,0.4215,0
2023-02-28,145.5819091796875,147.2311969873109,145.0091001993268,145.2263730908277,50547000,0.375,0.455,0.17,0.4215,0
2023-03-01,143.50794982910156,145.40413732845008,143.2116672358624,145.0091039171703,55479000,0.375,0.455,0.17,0.4215,1
2023-03-02,144.1005096435547,144.8905915062189,142.11542689154663,142.58948505088003,52238100,0.375,0.455,0.17,0.4215,1
2023-03-03,149.15701293945312,149.236022634522,145.50290119247913,146.20408774818284,70732300,0.375,0.455,0.17,0.4215,1
2023-03-06,151.92227172851562,154.36164111130708,151.55686512341583,151.88275935147126,87558000,0.375,0.455,0.17,0.4215,0
2023-03-07,149.71994018554688,152.11979733212814,149.25576768015293,151.79388801539042,56182000,0.375,0.455,0.17,0.4215,1
2023-03-08,150.97418212890625,151.56674727343432,149.9470862905562,150.91492862836495,47204800,0.375,0.455,0.17,0.4215,0
2023-03-09,148.72247314453125,152.62348469471294,148.36693703717327,151.65564226284476,53833600,0.375,0.455,0.17,0.4215,0
2023-03-10,146.65838623046875,149.06812912915592,145.77942411442874,148.3471863994858,68572400,0.375,0.455,0.17,0.4215,1
2023-03-13,148.6039581298828,151.2408445051467,145.86830586973156,145.97694231528436,84457100,0.375,0.455,0.17,0.4215,1
2023-03-14,150.69764709472656,151.49759944522177,148.23853654610156,149.4038955086608,73695900,0.375,0.455,0.17,0.4215,1
