Date,Close,High,Low,Open,Volume,pos,neu,neg,compound,Target_Up,MA_5,MA_10,MA_20
2023-01-03,123.33064270019533,129.07955877586164,122.44315755676652,128.46818597294893,112117500,0.388,0.612,0.0,0.5859,1,,,
2023-01-04,124.60269927978516,126.87071595607893,123.34050157319416,125.12532731236188,89113600,0.0,0.759,0.241,-0.2263,0,,,
2023-01-05,123.2813491821289,125.9931050560214,123.02497040718632,125.36200610905166,80962700,0.375,0.455,0.17,0.4215,1,,,
2023-01-06,127.81735229492188,128.47803270861587,123.1531372583934,124.2575639751336,87754700,0.375,0.455,0.17,0.4215,1,,,
2023-01-09,128.33999633789062,131.55466910779157,128.08361757784448,128.6555533163335,70790800,0.375,0.455,0.17,0.4215,1,125.47440795898437,,
2023-01-10,128.91192626953125,129.43455432577363,126.33822308555574,128.44846138243565,63896200,0.375,0.455,0.17,0.4215,1,126.59066467285156,,
2023-01-11,131.633544921875,131.6532559460779,128.64568467754964,129.4246914378982,69458900,0.375,0.455,0.17,0.4215,0,127.99683380126953,,
2023-01-12,131.55465698242188,132.3928269168101,129.61205277186403,132.0181218476768,71379600,0.375,0.455,0.17,0.4215,1,129.65149536132813,,
2023-01-13,132.88587951660156,133.04365799858422,129.82900042275443,130.19384999657817,57809700,0.375,0.455,0.17,0.4215,1,130.66520080566406,,
2023-01-17,134.0495147705078,135.38073158991477,132.26468844927925,132.95495069414824,63646600,0.375,0.455,0.17,0.4215,0,131.8071044921875,128.64075622558593,
2023-01-18,133.32962036132812,136.68233001992917,133.15211582478094,134.91723044564642,69672800,0.375,0.455,0.17,0.4215,1,132.69064331054688,129.64065399169922,
2023-01-19,133.38882446289062,134.3551915357547,131.9096847395612,132.21537120826198,58280400,0.375,0.455,0.17,0.4215,1,133.04169921875,130.51926651000977,
2023-01-20,135.95263671875,136.10055969629155,132.3534032973474,133.3986594670003,80223600,0.375,0.455,0.17,0.4215,1,133.92129516601562,131.78639526367186,
2023-01-23,139.1475830078125,141.32685514540398,135.9822178760608,136.19915953850284,81760300,0.375,0.455,0.17,0.4215,1,135.17363586425782,132.91941833496094,
2023-01-24,140.5478057861328,141.169049065949,138.34882305195495,138.35867856319985,66435100,0.375,0.455,0.17,0.4215,0,136.47329406738282,134.14019927978515,
2023-01-25,139.8871307373047,140.44919583129123,136.87954456914778,138.93061947978296,65799300,0.375,0.455,0.17,0.4215,1,137.78479614257813,135.2377197265625,
2023-01-26,141.9579315185547,142.24389182095663,139.9265676340099,141.17890975078,54105100,0.375,0.455,0.17,0.4215,1,139.49861755371094,136.27015838623046,
2023-01-27,143.90054321289062,145.18246711281154,141.09018721144076,141.16907645645273,70555800,0.375,0.455,0.17,0.4215,0,141.08819885253905,137.50474700927734,
2023-01-30,141.01129150390625,143.5258315295515,140.863383580403,142.94404030165967,64015300,0.375,0.455,0.17,0.4215,1,141.4609405517578,138.31728820800782,
2023-01-31,142.28334045410156,142.3326481092963,140.301299106578,140.71545632636276,65874500,0.375,0.455,0.17,0.4215,1,141.80804748535155,139.1406707763672,133.89071350097657
2023-02-01,143.40750122070312,144.57109881294525,139.35467333783802,141.967813832125,77663600,0.375,0.455,0.17,0.4215,1,142.51212158203126,140.1484588623047,134.89455642700196
2023-02-02,148.7225341796875,149.07751316889315,146.10937904089744,146.82922262442523,118339000,0.375,0.455,0.17,0.4215,1,143.86504211425782,141.68182983398438,136.10054817199708
2023-02-03,152.35133361816406,155.19128562284567,145.77409661965578,145.97131216518497,154357300,0.375,0.455,0.17,0.4215,0,145.5552001953125,143.3216995239258,137.55404739379884
2023-02-06,149.61990356445312,150.97086135861267,148.6831181180358,150.4482332133508,69858300,0.375,0.455,0.17,0.4215,1,147.27692260742188,144.36893157958986,138.6441749572754
2023-02-07,152.49928283691406,153.07121860652774,148.54505515759217,148.54505515759217,83322600,0.375,0.455,0.17,0.4215,0,149.3201110839844,145.56407928466797,139.85213928222657
2023-02-08,149.80723571777344,152.4302465157107,149.0676660222592,151.73998447588093,64120100,0.375,0.455,0.17,0.4215,0,150.60005798339844,146.55608978271485,140.89690475463868
2023-02-09,148.7718505859375,152.1837390894266,148.32811173185976,151.64138491373802,56007100,0.375,0.455,0.17,0.4215,1,150.60992126464845,147.23748168945312,141.7538200378418
2023-02-10,149.13723754882812,149.46314684794623,147.36944294161282,147.60647199630503,57450700,0.375,0.455,0.17,0.4215,1,149.96710205078125,147.7611511230469,142.6329490661621
2023-02-13,151.9420623779297,152.34696638235076,149.04839042017383,149.0780171748983,62199000,0.375,0.455,0.17,0.4215,0,150.43153381347656,148.8542282104492,143.58575820922852
2023-02-14,151.3001251220703,151.8630636416052,148.989147669325,150.23351666628918,61707600,0.375,0.455,0.17,0.4215,1,150.19170227050782,149.7559066772461,144.44828872680665
2023-02-15,153.4036865234375,153.57157647071767,150.98407305919312,151.21121650909475,65573800,0.375,0.455,0.17,0.4215,0,150.91099243164064,150.75552520751953,145.4519920349121
2023-02-16,151.80377197265625,154.39127521881363,151.44823591009165,151.60624021713144,68167900,0.375,0.455,0.17,0.4215,0,151.5173767089844,151.06364898681642,146.37273941040038
2023-02-17,150.6581573486328,151.10257366904202,148.97924287733272,150.46064065840176,59144100,0.375,0.455,0.17,0.4215,0,151.82156066894532,150.8943313598633,147.10801544189454
2023-02-21,146.6386260986328,149.4236611977066,146.56950203742764,148.33729678255915,58867200,0.375,0.455,0.17,0.4215,1,150.76087341308593,150.59620361328126,147.48256759643556
2023-02-22,147.0632781982422,148.09037388155102,145.3349810354075,147.0237658241407,51011300,0.375,0.455,0.17,0.4215,1,149.91350402832032,150.05260314941407,147.808341217041
2023-02-23,147.54721069335938,148.47555569965527,145.4140093743504,148.22865607328114,48394200,0.375,0.455,0.17,0.4215,0,148.7422088623047,149.82660064697265,148.19134521484375
2023-02-24,144.89060974121094,145.3646528906462,143.91288161778817,145.28564318748033,55469600,0.375,0.455,0.17,0.4215,1,147.3595764160156,149.4384765625,148.33797912597657
2023-02-27,146.08560180664062,147.32010021469048,145.621429199649,145.87821451304222,44998500,0.375,0.455,0.17,0.4215,0,146.4450653076172,149.13331298828126,148.44723205566407
2023-02-28,145.5819091796875,147.2311969873109,145.0091001993268,145.2263730908277,50547000,0.375,0.455,0.17,0.4215,0,146.2337219238281,148.49729766845704,148.67576293945314
2023-03-01,143.50794982910156,145.40413732845008,143.2116672358624,145.0091039171703,55479000,0.375,0.455,0.17,0.4215,1,145.52265625,147.71808013916015,148.73699340820312
2023-03-02,144.1005096435547,144.8905915062189,142.11542689154663,142.58948505088003,52238100,0.375,0.455,0.17,0.4215,1,144.83331604003905,146.7877624511719,148.7716438293457
2023-03-03,149.15701293945312,149.236022634522,145.50290119247913,146.20408774818284,70732300,0.375,0.455,0.17,0.4215,1,145.6865966796875,146.52308654785156,148.793367767334
2023-03-06,151.92227172851562,154.36164111130708,151.55686512341583,151.88275935147126,87558000,0.375,0.455,0.17,0.4215,0,146.8539306640625,146.64949798583984,148.77191467285155
2023-03-07,149.71994018554688,152.11979733212814,149.25576768015293,151.79388801539042,56182000,0.375,0.455,0.17,0.4215,1,147.68153686523436,146.95762939453124,148.77691650390625
2023-03-08,150.97418212890625,151.56674727343432,149.9470862905562,150.91492862836495,47204800,0.375,0.455,0.17,0.4215,0,149.1747833251953,147.34871978759764,148.70066146850587
2023-03-09,148.72247314453125,152.62348469471294,148.36693703717327,151.65564226284476,53833600,0.375,0.455,0.17,0.4215,0,150.09917602539062,147.46624603271485,148.64642333984375
2023-03-10,146.65838623046875,149.06812912915592,145.77942411442874,148.3471863994858,68572400,0.375,0.455,0.17,0.4215,1,149.59945068359374,147.6430236816406,148.5407501220703
2023-03-13,148.6039581298828,151.2408445051467,145.86830586973156,145.97694231528436,84457100,0.375,0.455,0.17,0.4215,1,148.9357879638672,147.89485931396484,148.51408615112305
2023-03-14,150.69764709472656,151.49759944522177,148.23853654610156,149.4038955086608,73695900,0.375,0.455,0.17,0.4215,1,149.13132934570314,148.40643310546875,148.45186538696288
2023-03-15,151.0927276611328,151.34949789320206,148.06079247647403,149.31504702106903,77167900,0.375,0.455,0.17,0.4215,1,149.15503845214843,149.16491088867187,148.441495513916
2023-03-16,153.91722106933594,154.5196567133458,149.75942505583248,150.27298045799404,76161100,0.375,0.455,0.17,0.4215,0,150.19398803710936,150.14658203125,148.46717224121093
2023-03-17,153.07777404785156,154.7962009363973,152.36670189187112,154.14438228182223,98944600,0.375,0.455,0.17,0.4215,1,151.47786560058594,150.53865814208984,148.5308723449707
