Date,Close,Volume,Pos,Neg,Neu,Compound,Next_Close,Target_Up
2023-01-03,123.33064270019531,112117500,0.388,0.0,0.612,0.5859,124.60270690917969,1
2023-01-04,124.60270690917969,89113600,0.0,0.241,0.759,-0.2263,123.28135681152344,0
2023-01-05,123.28135681152344,80962700,0.375,0.17,0.455,0.4215,127.81735229492188,1
2023-01-06,127.81735229492188,87754700,,,,,128.33998107910156,1
2023-01-09,128.33998107910156,70790800,,,,,128.9119415283203,1
2023-01-10,128.9119415283203,63896200,,,,,131.63356018066406,1
2023-01-11,131.63356018066406,69458900,,,,,131.55465698242188,0
2023-01-12,131.55465698242188,71379600,,,,,132.88587951660156,1
2023-01-13,132.88587951660156,57809700,,,,,134.0494842529297,1
2023-01-17,134.0494842529297,63646600,,,,,133.3296356201172,0
2023-01-18,133.3296356201172,69672800,,,,,133.38880920410156,1
2023-01-19,133.38880920410156,58280400,,,,,135.95263671875,1
2023-01-20,135.95263671875,80223600,,,,,139.14756774902344,1
2023-01-23,139.14756774902344,81760300,,,,,140.5478515625,1
2023-01-24,140.5478515625,66435100,,,,,139.88714599609375,0
2023-01-25,139.88714599609375,65799300,,,,,141.95794677734375,1
2023-01-26,141.95794677734375,54105100,,,,,143.90054321289062,1
2023-01-27,143.90054321289062,70555800,,,,,141.0113067626953,0
2023-01-30,141.0113067626953,64015300,,,,,142.28334045410156,1
2023-01-31,142.28334045410156,65874500,,,,,143.407470703125,1
2023-02-01,143.407470703125,77663600,,,,,148.72254943847656,1
2023-02-02,148.72254943847656,118339000,,,,,152.35134887695312,1
2023-02-03,152.35134887695312,154357300,,,,,149.619873046875,0
2023-02-06,149.619873046875,69858300,,,,,152.49928283691406,1
2023-02-07,152.49928283691406,83322600,,,,,149.80723571777344,0
2023-02-08,149.80723571777344,64120100,,,,,148.77183532714844,0
2023-02-09,148.77183532714844,56007100,,,,,149.13726806640625,1
2023-02-10,149.13726806640625,57450700,,,,,151.9420623779297,1
2023-02-13,151.9420623779297,62199000,,,,,151.3000946044922,0
2023-02-14,151.3000946044922,61707600,,,,,153.40370178222656,1
2023-02-15,153.40370178222656,65573800,,,,,151.80377197265625,0
2023-02-16,151.80377197265625,68167900,,,,,150.6581573486328,0
2023-02-17,150.6581573486328,59144100,,,,,146.6386260986328,0
2023-02-21,146.6386260986328,58867200,,,,,147.0633087158203,1
2023-02-22,147.0633087158203,51011300,,,,,147.54721069335938,1
2023-02-23,147.54721069335938,48394200,,,,,144.89059448242188,0
2023-02-24,144.89059448242188,55469600,,,,,146.08558654785156,1
2023-02-27,146.08558654785156,44998500,,,,,145.58192443847656,0
2023-02-28,145.58192443847656,50547000,,,,,143.50794982910156,0
2023-03-01,143.50794982910156,55479000,,,,,144.1005096435547,1
2023-03-02,144.1005096435547,52238100,,,,,149.15701293945312,1
2023-03-03,149.15701293945312,70732300,,,,,151.92227172851562,1
2023-03-06,151.92227172851562,87558000,,,,,149.71994018554688,0
2023-03-07,149.71994018554688,56182000,,,,,150.9741973876953,1
2023-03-08,150.9741973876953,47204800,,,,,148.72247314453125,0
2023-03-09,148.72247314453125,53833600,,,,,146.65838623046875,0
2023-03-10,146.65838623046875,68572400,,,,,148.60394287109375,1
2023-03-13,148.60394287109375,84457100,,,,,150.6976776123047,1
2023-03-14,150.6976776123047,73695900,,,,,151.09271240234375,1
2023-03-15,151.09271240234375,77167900,,,,,153.91725158691406,1
2023-03-16,153.91725158691406,76161100,,,,,153.07778930664062,0
2023-03-17,153.07778930664062,98944600,,,,,155.44801330566406,1
2023-03-20,155.44801330566406,73641400,,,,,157.3046875,1
2023-03-21,157.3046875,73938300,,,,,155.87269592285156,0
2023-03-22,155.87269592285156,75701800,,,,,156.95904541015625,1
2023-03-23,156.95904541015625,67622100,,,,,158.26266479492188,1
2023-03-24,158.26266479492188,59196500,,,,,156.31712341308594,0
2023-03-27,156.31712341308594,52390300,,,,,155.6949005126953,0
2023-03-28,155.6949005126953,45992200,,,,,158.77622985839844,1
2023-03-29,158.77622985839844,51305700,,,,,160.3465118408203,1
